"-बिजिलाकिषोरः,","-बिजिलाकिषोर ः,"
श्रीलालबहादुरशास्त्रि,श्री लालबहादुरशास्त्रि
राष्ट्रियसंस्कृतविद्यापीठस्य,राष् ट्रिय संस्कृत विद्या पी ठस्य
वाचस्पतिसभागारे,वाचस्पति सभा गारे
IGNCA,IGNCA
इति,इति
इन्दिरागांधीराष्ट्रियकलाकेन्द्,इन्दिरागांधीराष् ट्रियकला केन्द्र
स्थापनादिवसावसरे,स्थापनादिवसा वसरे
भारतीयविद्यापरियोजनान्तर्गतं,भार तीय विद्यापरियोजनान्तर् गतं
श्रीलालबहादुरशास्त्रि,श्री लालबहादुरशास्त्रि
राष्ट्रियसंस्कृतविद्यापीठस्य,राष् ट्रिय संस्कृत विद्या पी ठस्य
",संवर्धनन्यासस्य",",संवर्धनन्यास स्य"
च,च
संयुक्ततत्वावधाने,संयुक्ततत्वावधाने
संस्कृतसाहित्ये,संस्कृत साहित्ये
चतुरङ्गक्रीडाया:,चतुरङ्ग क्री डा या:
सन्दर्भा:,सन्दर्भा:
विषयको,विषयको
विशिष्टव्याख्यानकार्यक्रम:,विशिष्ट व्याख्या न कार्य क्रम:
समायोजित:।,समा योजित:।
विद्यापीठस्य,विद्या पी ठस्य
कुलपति:,कुलपति:
प्रो.रमेशकुमारपाण्डेय:,प्रो.रमेशकुमार पाण्डेय :
कार्यक्रमस्य,कार्य क्रम स्य
अध्यक्षतां,अध्यक् षतां
निरवहत्।,निरवहत्।
संस्कृतसाहित्ये,संस्कृत साहित्ये
चतुरङ्गक्रीडाया:,चतुरङ्ग क्री डा या:
सन्दर्भा:,सन्दर्भा:
विषयमालक्ष्य,विषयमालक् ष्य
डॉ.चन्द्रगुप्तवर्णेकर:,डॉ.चन्द्र गुप्त वर्णेकर:
व्याख्यानं,व्याख्यानं
प्रास्तौत्।,प्रा स्तौत् ।
वर्णेकरमहोदयेन,वर्णेकरमहोदयेन
प्रक्षेपकयन्त्रसाहाय्येन,प्रक्षेप क यन्त्र साहा य् येन
निजव्याख्याने,नि ज व्याख्याने
संस्कृतसाहित्ये,संस्कृत साहित्ये
विद्यमानानि,विद्यमानानि
